,id,rodada_id,pontos,preco,variacao,media,apelido,ult_pontuacao,scout,posicao,clube,status,em_casa
2639,78850,25,20.7,17.51,2.93,6.78,Reinaldo,20.7,"{'A': 1, 'CA': 4, 'FC': 28, 'FD': 7, 'FF': 18, 'FS': 27, 'FT': 1, 'G': 5, 'PE': 51, 'PP': 1, 'RB': 42, 'SG': 10}",lat,SAO,Provável,0
8591,38509,25,17.5,10.11,3.29,4.96,Diego Alves,17.5,"{'DD': 26, 'DP': 2, 'FS': 3, 'GS': 17, 'PE': 12, 'RB': 2, 'SG': 9}",gol,FLA,Provável,0
4931,91201,25,15.4,7.58,2.07,3.4,Pepê,15.4,"{'A': 1, 'CA': 1, 'FC': 10, 'FD': 6, 'FF': 12, 'FS': 14, 'G': 5, 'I': 7, 'PE': 29, 'RB': 10}",ata,GRE,Dúvida,1
4463,90285,25,14.7,21.28,1.94,6.75,Bruno Henrique,14.7,"{'A': 2, 'CA': 6, 'FC': 38, 'FD': 21, 'FF': 27, 'FS': 46, 'FT': 3, 'G': 11, 'I': 8, 'PE': 35, 'RB': 16}",ata,FLA,Suspenso,0
1655,69041,25,14.5,8.26,1.44,5.5,Muriel,14.5,"{'CA': 1, 'DD': 24, 'FC': 1, 'FS': 5, 'GS': 12, 'PE': 5, 'SG': 5}",gol,FLU,Provável,0
8459,38431,25,12.7,7.31,1.19,6.53,Diego Cavalieri,12.7,"{'DD': 18, 'FC': 1, 'GS': 7, 'PE': 1}",gol,BOT,Dúvida,0
647,63013,25,12.3,17.25,1.11,6.1,Marcos Rocha,12.3,"{'A': 1, 'CA': 2, 'FC': 29, 'FD': 1, 'FF': 4, 'FS': 23, 'G': 1, 'I': 1, 'PE': 58, 'RB': 54, 'SG': 6}",lat,PAL,Provável,1
2447,78445,25,12.2,9.56,1.27,4.74,Renê,12.2,"{'A': 2, 'CA': 2, 'FC': 15, 'FD': 2, 'FF': 2, 'FS': 6, 'PE': 39, 'RB': 28, 'SG': 8}",lat,FLA,Provável,0
5663,88065,25,11.8,16.53,0.59,7.31,Jorge,11.8,"{'A': 4, 'CA': 3, 'FC': 25, 'FD': 10, 'FF': 11, 'FS': 32, 'G': 1, 'I': 2, 'PE': 37, 'RB': 38, 'SG': 11}",lat,SAN,Provável,1
8555,99392,25,11.8,9.61,1.6,4.61,Michael,11.8,"{'A': 2, 'CA': 2, 'FC': 22, 'FD': 19, 'FF': 21, 'FS': 33, 'FT': 2, 'G': 5, 'I': 11, 'PE': 51, 'RB': 23}",ata,GOI,Provável,1
431,60819,25,11.5,16.07,0.86,5.23,Dedé,11.5,"{'CA': 2, 'FC': 13, 'FD': 4, 'FF': 6, 'FS': 19, 'G': 3, 'PE': 42, 'RB': 26, 'SG': 7}",zag,CRU,Provável,1
731,68696,25,11.5,5.97,1.56,2.14,Bergson,11.5,"{'CA': 1, 'FC': 12, 'FD': 10, 'FF': 11, 'FS': 16, 'G': 1, 'I': 6, 'PE': 13, 'RB': 4}",ata,CEA,Nulo,0
6575,95542,25,11.5,4.54,1.21,6.33,Orinho,11.5,"{'FC': 5, 'FD': 1, 'FF': 2, 'FS': 3, 'PE': 1, 'RB': 5, 'SG': 2}",lat,FLU,Nulo,0
3083,81845,25,11.4,9.23,1.72,5.87,Alisson,11.4,"{'A': 5, 'CA': 4, 'FC': 14, 'FD': 8, 'FF': 6, 'FS': 24, 'G': 3, 'PE': 22, 'RB': 15}",mei,GRE,Provável,1
1283,72359,25,11.1,10.08,1.08,2.25,Luiz Otávio,11.1,"{'A': 1, 'CA': 5, 'FC': 21, 'FD': 1, 'FF': 2, 'FS': 9, 'PE': 17, 'RB': 18, 'SG': 4}",zag,CEA,Provável,0
4763,91102,25,11.1,4.79,1.7,2.15,Flávio,11.1,"{'CA': 2, 'FC': 28, 'FD': 1, 'FF': 5, 'FS': 13, 'I': 1, 'PE': 20, 'RB': 33}",mei,BAH,Provável,0
1079,71882,25,11.0,11.62,1.97,3.75,Diogo Silva,11.0,"{'CA': 2, 'DD': 37, 'FS': 9, 'GS': 24, 'PE': 11, 'SG': 6}",gol,CEA,Provável,0
3311,82453,25,11.0,16.34,1.23,6.73,Tadeu,11.0,"{'DD': 51, 'DP': 2, 'FS': 6, 'GS': 28, 'PE': 14, 'SG': 9}",gol,GOI,Provável,1
2819,79113,25,10.7,15.13,1.5,5.81,Víctor Cuesta,10.7,"{'CA': 6, 'FC': 20, 'FD': 2, 'FF': 1, 'FS': 24, 'PE': 32, 'RB': 58, 'SG': 8}",zag,INT,Suspenso,0
1631,73421,25,10.6,13.3,1.59,5.46,Rafael Vaz,10.6,"{'FC': 6, 'FD': 6, 'FF': 9, 'FS': 9, 'G': 4, 'GC': 1, 'PE': 64, 'RB': 23, 'SG': 8}",zag,GOI,Provável,1
5603,87999,25,10.5,6.48,1.18,3.46,Gustavo Scarpa,10.5,"{'A': 3, 'CA': 1, 'FC': 12, 'FD': 14, 'FF': 14, 'FS': 11, 'G': 2, 'PE': 42, 'RB': 10}",mei,PAL,Provável,1
899,68821,25,10.4,5.98,1.97,5.65,Rafael Galhardo,10.4,"{'A': 2, 'FC': 6, 'FD': 3, 'FF': 2, 'FS': 5, 'G': 2, 'I': 1, 'PE': 20, 'RB': 12, 'SG': 4}",lat,GRE,Dúvida,1
6527,95466,25,10.2,8.7,0.95,3.67,Igor Vinícius,10.2,"{'A': 2, 'CA': 3, 'CV': 2, 'FC': 26, 'FD': 2, 'FF': 3, 'FS': 8, 'PE': 23, 'RB': 28, 'SG': 6}",lat,SAO,Provável,0
287,51495,25,9.8,7.23,0.49,2.54,Tiago Alves,9.8,"{'A': 1, 'CA': 1, 'FC': 12, 'FD': 1, 'FF': 2, 'FS': 2, 'FT': 1, 'G': 1, 'I': 2, 'PE': 27, 'RB': 12, 'SG': 4}",zag,CEA,Dúvida,0
5123,86759,25,9.8,12.2,0.45,5.47,Luan,9.8,"{'A': 6, 'FC': 11, 'FD': 8, 'FF': 14, 'FS': 34, 'FT': 1, 'G': 4, 'I': 3, 'PE': 53, 'RB': 16}",ata,GRE,Provável,1
2075,70916,25,9.7,14.55,1.36,5.62,Diogo Barbosa,9.7,"{'A': 1, 'CA': 2, 'FC': 25, 'FD': 2, 'FF': 3, 'FS': 16, 'PE': 21, 'RB': 47, 'SG': 6}",lat,PAL,Provável,1
5963,93791,25,9.7,5.7,1.71,1.83,Daniel,9.7,"{'A': 1, 'CA': 2, 'FC': 12, 'FD': 7, 'FF': 3, 'FS': 26, 'G': 1, 'PE': 50, 'RB': 14}",mei,FLU,Nulo,0
1067,71844,25,9.5,13.03,1.24,6.08,Thiago Galhardo,9.5,"{'A': 1, 'CA': 2, 'FC': 25, 'FD': 17, 'FF': 24, 'FS': 36, 'FT': 2, 'G': 9, 'I': 4, 'PE': 57, 'PP': 1, 'RB': 22}",mei,CEA,Provável,0
2675,80313,25,9.4,7.87,0.7,3.36,Gilberto ,9.4,"{'A': 2, 'CA': 1, 'FC': 21, 'FD': 5, 'FF': 7, 'FS': 15, 'I': 1, 'PE': 52, 'RB': 21, 'SG': 5}",lat,FLU,Provável,0
2627,78855,25,9.2,6.39,0.79,2.4,Thiago Santos,9.2,"{'CA': 3, 'FC': 24, 'FD': 1, 'FF': 1, 'FS': 8, 'G': 1, 'I': 1, 'PE': 8, 'RB': 19}",mei,PAL,Suspenso,1
9311,104649,25,9.2,3.08,1.63,3.29,Heitor,9.2,"{'A': 1, 'CA': 1, 'FC': 8, 'FD': 3, 'FF': 2, 'FS': 16, 'PE': 26, 'RB': 8, 'SG': 2}",lat,INT,Provável,0
5351,91708,25,9.0,5.33,0.53,3.08,Nino,9.0,"{'A': 1, 'CA': 6, 'FC': 23, 'FD': 2, 'FF': 5, 'FS': 13, 'G': 1, 'PE': 20, 'RB': 31, 'SG': 5}",zag,FLU,Provável,0
9539,38913,25,9.0,7.5,0.21,3.47,Nenê,9.0,"{'A': 2, 'CV': 1, 'FC': 15, 'FD': 3, 'FF': 12, 'FS': 23, 'G': 3, 'I': 2, 'PE': 54, 'RB': 13}",mei,FLU,Provável,0
2567,78577,25,8.6,8.35,0.78,4.08,Ricardinho,8.6,"{'A': 5, 'CA': 1, 'FC': 22, 'FD': 15, 'FF': 18, 'FS': 7, 'G': 1, 'PE': 58, 'RB': 34}",mei,CEA,Provável,0
1871,73620,25,8.0,8.51,0.24,3.55,Bruno Alves,8.0,"{'A': 1, 'CA': 3, 'FC': 30, 'FD': 1, 'FF': 6, 'FS': 13, 'PE': 24, 'RB': 27, 'SG': 9}",zag,SAO,Provável,0
2543,78654,25,8.0,4.5,0.5,8.0,Eduardo Brock,8.0,"{'RB': 2, 'SG': 1}",zag,CEA,Nulo,0
9815,62009,25,8.0,7.35,0.65,2.64,Camilo,8.0,"{'A': 3, 'CA': 2, 'FC': 26, 'FD': 9, 'FF': 12, 'FS': 16, 'FT': 1, 'G': 1, 'I': 5, 'PE': 42, 'RB': 15}",mei,CHA,Provável,0
443,61188,25,7.9,17.27,-0.92,7.41,Gilberto,7.9,"{'A': 3, 'FC': 20, 'FD': 9, 'FF': 20, 'FS': 12, 'FT': 2, 'G': 11, 'I': 6, 'PE': 26, 'RB': 18}",ata,BAH,Provável,0
4139,84847,25,7.7,4.41,0.99,3.43,Luan Peres ,7.7,"{'CA': 1, 'FC': 5, 'FF': 1, 'FS': 2, 'PE': 5, 'RB': 3, 'SG': 2}",zag,SAN,Nulo,1
1715,73476,25,7.59,7.5,0.85,4.96,Marcão,7.59,{},tec,FLU,Provável,0
2591,80196,25,7.5,9.69,1.01,2.33,Yago Pikachu,7.5,"{'A': 1, 'CA': 5, 'FC': 15, 'FD': 4, 'FF': 15, 'FS': 39, 'FT': 1, 'G': 3, 'I': 1, 'PE': 58, 'PP': 2, 'RB': 19}",mei,VAS,Provável,1
8135,38162,25,7.4,6.89,1.26,2.32,Fred,7.4,"{'A': 3, 'CA': 7, 'FC': 26, 'FD': 12, 'FF': 8, 'FS': 29, 'FT': 1, 'G': 4, 'I': 10, 'PE': 38, 'RB': 3}",ata,CRU,Provável,1
8687,102999,25,7.4,4.54,1.44,1.42,Régis,7.4,"{'CA': 1, 'FC': 8, 'FD': 4, 'FF': 9, 'FS': 4, 'I': 3, 'PE': 14, 'RB': 11}",mei,CHA,Provável,0
5447,87552,25,7.3,6.53,0.82,2.81,Vitor Bueno,7.3,"{'FC': 7, 'FD': 2, 'FF': 6, 'FS': 15, 'FT': 2, 'G': 1, 'PE': 18, 'RB': 15}",mei,SAO,Dúvida,0
8207,38277,25,7.3,9.14,0.62,4.38,Thiago Neves,7.3,"{'A': 2, 'CA': 6, 'FC': 18, 'FD': 14, 'FF': 24, 'FS': 21, 'FT': 1, 'G': 5, 'I': 2, 'PE': 40, 'RB': 12}",mei,CRU,Provável,1
623,63219,25,7.2,8.4,1.3,3.65,Luan,7.2,"{'A': 1, 'CA': 4, 'FC': 26, 'FD': 4, 'FF': 13, 'FS': 31, 'G': 1, 'I': 1, 'PE': 48, 'PP': 1, 'RB': 34}",mei,ATL,Provável,0
9455,41258,25,7.18,10.51,1.27,4.01,Adilson Batista,7.18,{},tec,CEA,Provável,0
9515,41929,25,7.16,12.95,0.36,4.62,Renato Gaúcho,7.16,{},tec,GRE,Provável,1
1451,72391,25,7.02,7.54,0.55,3.29,Fernando Diniz,7.02,{},tec,SAO,Provável,0
71,37656,25,7.0,10.71,0.31,3.22,Fábio,7.0,"{'CA': 2, 'DD': 27, 'DP': 2, 'FS': 3, 'GS': 27, 'PE': 9, 'SG': 7}",gol,CRU,Provável,1
515,37788,25,7.0,4.9,-0.47,4.41,Marcelo Boeck,7.0,"{'CA': 1, 'DD': 15, 'FS': 1, 'GS': 10, 'PE': 3, 'SG': 2}",gol,FOR,Provável,1
3227,81881,25,7.0,5.87,0.9,4.35,João Ricardo,7.0,"{'DD': 5, 'GS': 3, 'PE': 1}",gol,CHA,Provável,0
3419,82639,25,7.0,4.35,0.42,3.16,Marcelo Hermes,7.0,"{'A': 1, 'CA': 3, 'FC': 9, 'FD': 1, 'FF': 3, 'FS': 8, 'PE': 17, 'RB': 11, 'SG': 3}",lat,GOI,Nulo,1
1379,72294,25,6.8,9.05,-0.09,3.86,Éverson,6.8,"{'CA': 1, 'DD': 21, 'DP': 1, 'FC': 1, 'FS': 7, 'GS': 17, 'PE': 29, 'SG': 9}",gol,SAN,Provável,1
5315,91573,25,6.8,7.26,0.69,2.35,Arboleda,6.8,"{'A': 1, 'CA': 5, 'FC': 19, 'FD': 4, 'FF': 5, 'FS': 11, 'I': 1, 'PE': 31, 'RB': 15, 'SG': 5}",zag,SAO,Provável,0
1031,68873,25,6.7,7.35,-0.38,5.06,Paulo Victor,6.7,"{'CA': 1, 'DD': 28, 'FS': 1, 'GS': 14, 'PE': 11, 'SG': 7}",gol,GRE,Provável,1
1571,69040,25,6.7,7.76,-1.03,4.33,Vladimir,6.7,"{'CA': 2, 'DD': 43, 'FS': 2, 'GS': 30, 'PE': 5, 'SG': 7}",gol,AVA,Provável,1
2615,80287,25,6.7,7.08,0.81,3.68,Luciano,6.7,"{'A': 3, 'CA': 6, 'FC': 17, 'FD': 11, 'FF': 9, 'FS': 14, 'G': 3, 'I': 3, 'PE': 28, 'PP': 1, 'RB': 13}",ata,GRE,Nulo,1
7559,105897,25,6.7,8.74,0.37,5.56,Pablo Marí,6.7,"{'A': 1, 'CA': 2, 'FC': 16, 'FF': 4, 'FS': 4, 'FT': 1, 'G': 2, 'I': 1, 'PE': 18, 'RB': 21, 'SG': 7}",zag,FLA,Provável,0
2063,80748,25,6.6,7.35,1.23,2.87,Di Santo,6.6,"{'CA': 1, 'FC': 7, 'FD': 4, 'FF': 2, 'FS': 3, 'G': 2, 'I': 2, 'PE': 6, 'RB': 3}",ata,ATL,Provável,0
8159,38196,25,6.6,8.14,-0.3,2.87,Maicon,6.6,"{'A': 2, 'CA': 4, 'FC': 11, 'FD': 1, 'FF': 2, 'FS': 4, 'G': 2, 'PE': 26, 'RB': 9}",mei,GRE,Dúvida,1
4427,90118,25,6.5,2.58,1.27,2.13,Yago Rocha,6.5,"{'CA': 1, 'CV': 1, 'FC': 10, 'FS': 8, 'PE': 16, 'RB': 8, 'SG': 4}",lat,GOI,Provável,1
35,37246,25,6.3,9.74,0.69,3.69,Ney Franco,6.3,{},tec,GOI,Provável,1
5015,86740,25,6.2,10.02,0.25,2.38,João Lucas,6.2,"{'CA': 1, 'FC': 10, 'FD': 5, 'FF': 4, 'FS': 8, 'G': 1, 'GC': 1, 'I': 4, 'PE': 44, 'RB': 24, 'SG': 4}",lat,CEA,Provável,0
5483,87747,25,6.2,5.66,0.2,3.26,Yago Felipe,6.2,"{'A': 1, 'CA': 5, 'FC': 26, 'FD': 2, 'FF': 3, 'FS': 28, 'FT': 2, 'G': 1, 'I': 1, 'PE': 27, 'RB': 36}",mei,GOI,Provável,1
8603,38505,25,6.2,10.23,1.27,4.1,Leandro Castan,6.2,"{'A': 1, 'CA': 6, 'FC': 12, 'FD': 2, 'FF': 2, 'FS': 13, 'G': 2, 'I': 2, 'PE': 19, 'RB': 15, 'SG': 4}",zag,VAS,Provável,1
971,71224,25,6.17,15.18,0.07,5.94,Jorge Jesus,6.17,{},tec,FLA,Provável,0
143,37281,25,6.11,10.18,0.66,3.7,Mano Menezes,6.11,{},tec,PAL,Provável,1
9599,42145,25,6.1,9.65,-0.22,4.23,Egídio,6.1,"{'A': 1, 'CA': 1, 'FC': 20, 'FD': 7, 'FF': 5, 'FS': 15, 'I': 1, 'PE': 49, 'RB': 30, 'SG': 5}",lat,CRU,Provável,1
2999,81241,25,6.0,4.61,-0.11,2.68,Oswaldo Henríquez,6.0,"{'CA': 4, 'FC': 10, 'FD': 2, 'FF': 1, 'FS': 4, 'FT': 1, 'PE': 21, 'RB': 16, 'SG': 6}",zag,VAS,Provável,1
5039,91733,25,6.0,7.0,0.49,2.65,Felipe,6.0,"{'A': 1, 'CA': 8, 'FC': 42, 'FD': 2, 'FF': 3, 'FS': 19, 'PE': 70, 'RB': 61}",mei,FOR,Provável,1
5279,93787,25,5.9,5.89,0.88,2.73,Andrey,5.9,"{'CA': 1, 'FC': 13, 'FD': 3, 'FF': 5, 'FS': 9, 'FT': 1, 'G': 1, 'PE': 21, 'RB': 20}",mei,VAS,Dúvida,1
5339,87192,25,5.9,7.84,0.75,4.05,Zeca,5.9,"{'CA': 3, 'FC': 12, 'FD': 1, 'FS': 5, 'PE': 31, 'RB': 35, 'SG': 6}",lat,INT,Provável,0
491,37694,25,5.8,8.24,0.65,3.17,Henrique,5.8,"{'CA': 3, 'FC': 29, 'FD': 3, 'FF': 10, 'FS': 33, 'I': 1, 'PE': 28, 'RB': 43}",mei,CRU,Provável,1
1499,72605,25,5.8,7.19,0.96,2.54,Vitor Hugo,5.8,"{'FC': 8, 'FD': 4, 'FF': 4, 'FS': 5, 'I': 3, 'PE': 7, 'RB': 5, 'SG': 3}",zag,PAL,Provável,1
8231,42501,25,5.7,4.62,0.64,2.12,Rhodolfo,5.7,"{'FC': 4, 'FD': 1, 'FF': 1, 'PE': 3, 'RB': 1, 'SG': 2}",zag,FLA,Nulo,0
8963,104086,25,5.7,2.69,1.0,1.55,Roberto,5.7,"{'CA': 1, 'FC': 4, 'FS': 5, 'PE': 11, 'RB': 4, 'SG': 1}",zag,INT,Provável,0
935,68872,25,5.5,11.18,1.08,3.92,Marcelo Lomba,5.5,"{'CA': 1, 'DD': 29, 'FS': 7, 'GS': 21, 'PE': 2, 'SG': 8}",gol,INT,Provável,0
1643,73384,25,5.5,12.45,0.78,3.39,Samuel Xavier,5.5,"{'A': 2, 'CA': 8, 'FC': 27, 'FD': 4, 'FF': 10, 'FS': 43, 'FT': 1, 'I': 3, 'PE': 56, 'RB': 30, 'SG': 6}",lat,CEA,Provável,0
3971,100761,25,5.4,4.63,0.59,1.5,Liziero,5.4,"{'CA': 2, 'FC': 10, 'FD': 1, 'FF': 3, 'FS': 9, 'PE': 22, 'RB': 16}",mei,SAO,Provável,0
4751,101484,25,5.4,5.42,0.46,3.83,Thonny Anderson,5.4,"{'A': 4, 'CA': 3, 'FC': 20, 'FD': 12, 'FF': 6, 'FS': 13, 'FT': 2, 'G': 2, 'I': 3, 'PE': 23, 'RB': 12}",mei,ATL,Dúvida,0
5831,93368,25,5.4,9.66,0.16,3.74,Lucas Veríssimo,5.4,"{'CA': 5, 'CV': 2, 'FC': 46, 'FD': 3, 'FF': 9, 'FS': 13, 'FT': 2, 'G': 1, 'GC': 1, 'I': 1, 'PE': 55, 'RB': 44, 'SG': 10}",zag,SAN,Provável,1
683,68690,25,5.2,8.63,0.62,2.53,André,5.2,"{'A': 2, 'CA': 2, 'FC': 16, 'FD': 5, 'FF': 5, 'FS': 17, 'FT': 1, 'G': 2, 'I': 4, 'PE': 17, 'PP': 1, 'RB': 9}",ata,GRE,Provável,1
9479,38648,25,5.2,13.76,0.05,4.28,Hernanes,5.2,"{'A': 4, 'CA': 4, 'FC': 21, 'FD': 12, 'FF': 13, 'FS': 21, 'G': 2, 'I': 1, 'PE': 22, 'RB': 21}",mei,SAO,Dúvida,0
359,52674,25,5.0,5.35,1.0,1.68,Gilson,5.0,"{'A': 1, 'CA': 3, 'CV': 2, 'FC': 20, 'FF': 1, 'FS': 16, 'PE': 37, 'RB': 19, 'SG': 5}",lat,BOT,Dúvida,0
779,71604,25,5.0,4.64,0.82,4.31,Fábio Sanches,5.0,"{'CA': 1, 'FC': 5, 'FD': 1, 'FF': 3, 'FS': 13, 'G': 1, 'PE': 16, 'RB': 12, 'SG': 5}",zag,GOI,Provável,1
803,71571,25,5.0,7.69,-0.84,3.36,Fernando Miguel,5.0,"{'CA': 1, 'DD': 19, 'FS': 2, 'GS': 15, 'PE': 7, 'SG': 6}",gol,VAS,Provável,1
995,68886,25,5.0,5.74,0.35,1.59,Digão,5.0,"{'CA': 1, 'CV': 2, 'FC': 15, 'FF': 1, 'FS': 7, 'I': 1, 'PE': 16, 'RB': 12, 'SG': 4}",zag,FLU,Dúvida,0
5747,93108,25,5.0,7.68,0.51,4.15,Mateus Vital,5.0,"{'A': 2, 'CA': 1, 'FC': 5, 'FD': 7, 'FF': 13, 'FS': 40, 'G': 1, 'PE': 19, 'RB': 16}",mei,COR,Dúvida,0
7811,97528,25,5.0,2.64,-0.19,1.47,Frazan,5.0,"{'CA': 1, 'CV': 2, 'FC': 7, 'FS': 1, 'PE': 4, 'RB': 3, 'SG': 5}",zag,FLU,Dúvida,0
9827,38140,25,5.0,7.07,-0.93,5.0,Fernando Prass,5.0,{'SG': 1},gol,PAL,Nulo,1
2027,70360,25,4.9,17.53,0.27,5.77,Eduardo Sasha,4.9,"{'A': 1, 'CA': 1, 'FC': 16, 'FD': 12, 'FF': 19, 'FS': 21, 'FT': 2, 'G': 9, 'I': 5, 'PE': 43, 'RB': 27}",ata,SAN,Provável,1
5711,101889,25,4.9,3.02,1.54,3.2,Igor Goularte,4.9,"{'FC': 1, 'FD': 1, 'FF': 1, 'FS': 3, 'I': 1, 'PE': 2, 'RB': 3}",mei,AVA,Provável,1
9443,40006,25,4.85,9.71,0.1,3.41,Abel Braga,4.85,{},tec,CRU,Provável,1
839,68773,25,4.8,4.27,0.49,3.02,Henrique Almeida,4.8,"{'CA': 1, 'FC': 4, 'FD': 3, 'FF': 8, 'FS': 5, 'PE': 3, 'RB': 5}",ata,CHA,Nulo,0
2159,74140,25,4.8,6.82,0.56,3.28,Élber,4.8,"{'A': 1, 'CA': 2, 'FC': 7, 'FD': 7, 'FF': 5, 'FS': 47, 'G': 2, 'I': 3, 'PE': 31, 'RB': 16}",mei,BAH,Provável,0
2855,80337,25,4.8,9.62,-0.03,2.43,Arthur Caíke,4.8,"{'A': 1, 'CV': 1, 'FC': 14, 'FD': 6, 'FF': 16, 'FS': 10, 'FT': 1, 'G': 3, 'I': 2, 'PE': 23, 'RB': 6}",ata,BAH,Dúvida,0
9707,49675,25,4.8,9.41,0.23,4.87,Alexandre Pato,4.8,"{'CA': 1, 'FC': 11, 'FD': 7, 'FF': 17, 'FS': 24, 'G': 5, 'I': 8, 'PE': 30, 'RB': 13}",ata,SAO,Provável,0
1883,70046,25,4.7,10.52,-0.09,4.25,Victor Ferraz,4.7,"{'A': 1, 'CA': 3, 'FC': 10, 'FD': 5, 'FF': 5, 'FS': 12, 'I': 1, 'PE': 52, 'RB': 27, 'SG': 11}",lat,SAN,Provável,1
9431,41327,25,4.51,8.32,-0.04,2.99,Vanderlei Luxemburgo,4.51,{},tec,VAS,Provável,1
1163,72018,25,4.4,11.46,-0.6,5.18,Tiago Volpi,4.4,"{'DD': 36, 'FS': 8, 'GS': 16, 'PE': 19, 'SG': 10}",gol,SAO,Provável,0
2519,78605,25,4.4,6.53,-0.1,3.48,Gabriel,4.4,"{'CA': 1, 'FC': 14, 'FF': 1, 'FS': 4, 'PE': 15, 'RB': 28}",mei,COR,Provável,0
3323,84893,25,4.4,4.43,0.68,2.72,Henrique,4.4,"{'CA': 5, 'FC': 16, 'FD': 1, 'FF': 2, 'FS': 20, 'PE': 15, 'RB': 13, 'SG': 4}",lat,VAS,Dúvida,1
3359,82635,25,4.4,5.12,-0.71,3.09,Igor Fernandes,4.4,"{'CA': 3, 'FC': 22, 'FD': 3, 'FF': 5, 'FS': 16, 'I': 3, 'PE': 42, 'RB': 30, 'SG': 7}",lat,AVA,Provável,1
7115,97536,25,4.3,2.6,1.14,1.22,Bryan,4.3,"{'CA': 2, 'FC': 10, 'FD': 2, 'FF': 1, 'FS': 8, 'PE': 19, 'RB': 9, 'SG': 1}",lat,CHA,Provável,0
8123,106475,25,4.22,10.21,-0.54,4.22,Ricardo Colbachini,4.22,{},tec,INT,Provável,0
407,52253,25,4.2,11.76,-1.16,4.44,Réver,4.2,"{'A': 1, 'CA': 1, 'FC': 3, 'FD': 4, 'FF': 7, 'FS': 11, 'FT': 2, 'I': 1, 'PE': 25, 'RB': 30, 'SG': 3}",zag,ATL,Provável,0
2399,78248,25,4.2,7.13,-1.16,3.4,Gustavo Henrique,4.2,"{'CA': 6, 'CV': 1, 'FC': 23, 'FD': 3, 'FF': 6, 'FS': 12, 'G': 2, 'PE': 32, 'RB': 16, 'SG': 11}",zag,SAN,Provável,1
2891,80692,25,4.2,9.6,0.0,4.9,Luan,4.2,"{'CA': 1, 'FC': 8, 'FD': 3, 'FF': 2, 'FS': 7, 'PE': 8, 'RB': 16, 'SG': 2}",zag,PAL,Nulo,1
8087,38144,25,4.2,10.1,0.27,4.5,Rafinha,4.2,"{'A': 4, 'CA': 5, 'FC': 21, 'FD': 3, 'FF': 1, 'FS': 13, 'I': 1, 'PE': 25, 'RB': 17, 'SG': 7}",lat,FLA,Contundido,0
6455,95220,25,4.1,11.69,0.3,4.77,Jefferson,4.1,"{'A': 1, 'CA': 3, 'FC': 17, 'FD': 1, 'FF': 6, 'FS': 26, 'G': 1, 'I': 1, 'PE': 50, 'RB': 42, 'SG': 8}",lat,GOI,Provável,1
1907,70116,25,4.0,4.73,-0.06,3.04,Fellipe Bastos,4.0,"{'CA': 3, 'FC': 8, 'FD': 2, 'FF': 10, 'FS': 3, 'G': 1, 'PE': 7, 'RB': 13}",mei,VAS,Suspenso,1
2051,70800,25,3.95,12.73,-0.45,4.6,Jorge Sampaoli,3.95,{},tec,SAN,Provável,1
2003,73858,25,3.9,3.24,-0.07,1.43,Jean Cléber,3.9,"{'A': 2, 'CA': 4, 'FC': 19, 'FD': 1, 'FF': 4, 'FS': 12, 'PE': 18, 'RB': 15}",mei,CSA,Provável,1
9083,104257,25,3.9,3.41,-0.08,5.83,João Lucas,3.9,"{'FC': 2, 'FS': 2, 'PE': 4, 'RB': 3, 'SG': 4}",lat,FLA,Provável,0
1271,72168,25,3.7,8.73,-1.32,3.15,João Paulo,3.7,"{'A': 1, 'CA': 4, 'FC': 19, 'FD': 7, 'FF': 8, 'FS': 34, 'G': 3, 'PE': 72, 'RB': 34}",mei,BOT,Dúvida,0
5771,92981,25,3.7,4.91,-0.07,3.38,Ronaldo,3.7,"{'A': 1, 'CA': 2, 'FC': 17, 'FF': 3, 'FS': 10, 'PE': 21, 'RB': 29}",mei,BAH,Provável,0
6779,97080,25,3.7,12.95,0.34,5.79,Yony González,3.7,"{'A': 2, 'CA': 1, 'FC': 26, 'FD': 16, 'FF': 31, 'FS': 36, 'FT': 2, 'G': 5, 'I': 5, 'PE': 20, 'RB': 18}",ata,FLU,Provável,0
1319,72079,25,3.6,5.76,0.72,3.78,Bruno Cortez,3.6,"{'A': 2, 'FC': 10, 'FS': 12, 'G': 1, 'I': 4, 'PE': 23, 'RB': 11, 'SG': 3}",lat,GRE,Provável,1
2939,81031,25,3.52,7.76,0.28,2.15,Marquinhos Santos,3.52,{},tec,CHA,Provável,0
6563,42500,25,3.5,12.84,0.6,5.43,Fagner,3.5,"{'A': 2, 'CA': 3, 'FC': 17, 'FD': 3, 'FF': 4, 'FS': 28, 'PE': 64, 'RB': 37, 'SG': 9}",lat,COR,Provável,0
2471,78478,25,3.4,13.72,-1.54,4.7,Willian Arão,3.4,"{'A': 5, 'CA': 2, 'FC': 36, 'FD': 6, 'FF': 12, 'FS': 17, 'FT': 1, 'G': 2, 'I': 1, 'PE': 51, 'RB': 51}",mei,FLA,Provável,0
8855,104026,25,3.4,6.46,0.5,4.55,João Pedro,3.4,"{'A': 1, 'CA': 1, 'FC': 22, 'FD': 17, 'FF': 20, 'FS': 27, 'FT': 1, 'G': 4, 'I': 7, 'PE': 27, 'RB': 14}",ata,FLU,Provável,0
