,id,rodada_id,pontos,preco,variacao,media,apelido,ult_pontuacao,scout,posicao,clube,status,em_casa
644,63013,22,0.8,15.5,-1.12,5.8,Marcos Rocha,12.3,"{'A': 1, 'CA': 2, 'FC': 29, 'FD': 1, 'FF': 4, 'FS': 23, 'G': 1, 'I': 1, 'PE': 58, 'RB': 54, 'SG': 6}",lat,PAL,Provável,1
4100,84523,22,0.8,5.11,-0.75,2.7,Romarinho,0.0,"{'A': 2, 'CA': 1, 'FC': 13, 'FD': 9, 'FF': 6, 'FS': 44, 'G': 1, 'I': 2, 'PE': 42, 'RB': 14}",ata,FOR,Nulo,1
1748,69141,22,0.7,14.15,-1.58,3.23,Ricardo Bueno,0.0,"{'A': 2, 'CA': 3, 'FC': 22, 'FD': 6, 'FF': 8, 'FS': 17, 'G': 5, 'I': 11, 'PE': 19, 'PP': 1, 'RB': 12}",ata,CSA,Nulo,1
5420,87393,22,0.7,8.66,-0.25,3.46,Gabriel,-0.4,"{'CA': 3, 'FC': 9, 'FD': 1, 'FF': 3, 'FS': 20, 'G': 1, 'I': 1, 'PE': 34, 'RB': 31, 'SG': 7}",zag,BOT,Provável,0
8180,38229,22,0.7,9.35,-0.57,2.37,Fábio Santos,0.0,"{'CA': 3, 'FC': 17, 'FD': 1, 'FF': 2, 'FS': 14, 'G': 2, 'I': 2, 'PE': 32, 'RB': 13, 'SG': 3}",lat,ATL,Provável,0
8204,38277,22,0.7,8.18,-1.14,4.3,Thiago Neves,7.3,"{'A': 2, 'CA': 6, 'FC': 18, 'FD': 14, 'FF': 24, 'FS': 21, 'FT': 1, 'G': 5, 'I': 2, 'PE': 40, 'RB': 12}",mei,CRU,Provável,1
1340,68942,22,0.6,5.63,0.2,2.3,Luciano Castán,1.2,"{'CA': 6, 'FC': 16, 'FF': 1, 'FS': 6, 'PE': 37, 'RB': 21, 'SG': 9}",zag,CSA,Provável,1
2564,78577,22,0.6,6.96,0.22,3.85,Ricardinho,8.6,"{'A': 5, 'CA': 1, 'FC': 22, 'FD': 15, 'FF': 18, 'FS': 7, 'G': 1, 'PE': 58, 'RB': 34}",mei,CEA,Provável,0
3956,83817,22,0.6,9.73,-1.88,2.64,Clayson,2.9,"{'A': 2, 'CA': 4, 'FC': 27, 'FD': 8, 'FF': 7, 'FS': 33, 'FT': 1, 'G': 3, 'I': 2, 'PE': 44, 'RB': 16}",ata,COR,Provável,0
5288,91508,22,0.6,3.47,-0.2,0.66,Leonardo Valencia,0.4,"{'A': 1, 'CA': 2, 'FC': 4, 'FD': 2, 'FF': 6, 'FS': 4, 'G': 1, 'I': 1, 'PE': 17, 'RB': 3}",mei,BOT,Provável,0
536,62974,22,0.5,0.78,0.03,-0.82,Werley,0.0,"{'FC': 5, 'FD': 3, 'FS': 1, 'GC': 1, 'I': 3, 'PE': 5, 'RB': 1}",zag,VAS,Nulo,1
596,62977,22,0.5,7.79,-0.58,2.31,Ganso,0.0,"{'CA': 6, 'FC': 18, 'FD': 7, 'FF': 12, 'FS': 20, 'G': 2, 'PE': 58, 'RB': 18}",mei,FLU,Provável,0
1148,71937,22,0.5,6.94,-0.41,3.62,Juninho,-2.0,"{'A': 3, 'CA': 4, 'FC': 38, 'FD': 9, 'FF': 17, 'FS': 17, 'G': 2, 'GC': 1, 'PE': 50, 'RB': 33}",mei,FOR,Provável,1
2240,75372,22,0.5,1.0,-0.52,0.58,Derlis González,0.0,"{'CA': 3, 'CV': 1, 'FC': 15, 'FD': 2, 'FF': 3, 'FS': 14, 'G': 1, 'I': 6, 'PE': 16, 'RB': 9}",ata,SAN,Dúvida,1
3680,99915,22,0.5,4.31,-0.29,2.15,Ezequiel,0.0,"{'FC': 2, 'FD': 1, 'FF': 1, 'FS': 5, 'FT': 1, 'PE': 4, 'RB': 3}",ata,CRU,Nulo,1
6068,94156,22,0.5,3.34,0.09,1.48,Diego Pituca,-1.4,"{'CA': 7, 'FC': 49, 'FD': 10, 'FF': 11, 'FS': 22, 'FT': 2, 'G': 1, 'PE': 60, 'RB': 26}",mei,SAN,Provável,1
5480,87747,22,0.4,4.56,-1.08,2.99,Yago Felipe,6.2,"{'A': 1, 'CA': 5, 'FC': 26, 'FD': 2, 'FF': 3, 'FS': 28, 'FT': 2, 'G': 1, 'I': 1, 'PE': 27, 'RB': 36}",mei,GOI,Provável,1
8492,99032,22,0.4,4.78,0.28,2.74,Lourenço,1.7,"{'A': 3, 'CA': 2, 'FC': 17, 'FD': 11, 'FF': 9, 'FS': 30, 'FT': 1, 'I': 4, 'PE': 45, 'RB': 17}",ata,AVA,Provável,1
3560,85931,22,0.3,5.14,-0.26,4.16,Hyoran,0.0,"{'A': 1, 'FC': 6, 'FD': 3, 'FF': 5, 'FS': 5, 'FT': 1, 'PE': 6, 'RB': 5}",mei,PAL,Nulo,1
